Fields/Model Name,Fields/Field Name
mrp.bom.line,bom_product_template_attribute_value_ids
mrp.bom.line,child_bom_id
mrp.bom.line,child_line_ids
mrp.bom.line,company_id
mrp.bom.line,cost_share
mrp.bom.line,create_date
mrp.bom.line,create_uid
mrp.bom.line,display_name
mrp.bom.line,id
mrp.bom.line,manual_consumption
mrp.bom.line,manual_consumption_readonly
mrp.bom.line,operation_id
mrp.bom.line,parent_product_tmpl_id
mrp.bom.line,possible_bom_product_template_attribute_value_ids
mrp.bom.line,product_id
mrp.bom.line,product_qty
mrp.bom.line,product_tmpl_id
mrp.bom.line,product_uom_category_id
mrp.bom.line,product_uom_id
mrp.bom.line,sequence
mrp.bom.line,tracking
mrp.bom.line,write_date
mrp.bom.line,write_uid
mrp.bom.byproduct,allowed_operation_ids
mrp.bom.byproduct,bom_id
mrp.bom.byproduct,bom_product_template_attribute_value_ids
mrp.bom.byproduct,company_id
mrp.bom.byproduct,cost_share
mrp.bom.byproduct,create_date
mrp.bom.byproduct,create_uid
mrp.bom.byproduct,display_name
mrp.bom.byproduct,id
mrp.bom.byproduct,operation_id
mrp.bom.byproduct,possible_bom_product_template_attribute_value_ids
mrp.bom.byproduct,product_id
mrp.bom.byproduct,product_qty
mrp.bom.byproduct,product_uom_category_id
mrp.bom.byproduct,product_uom_id
mrp.bom.byproduct,sequence
mrp.bom.byproduct,write_date
mrp.bom.byproduct,write_uid
mrp.consumption.warning.line,consumption
mrp.consumption.warning.line,create_date
mrp.consumption.warning.line,create_uid
mrp.consumption.warning.line,display_name
mrp.consumption.warning.line,id
mrp.consumption.warning.line,mrp_consumption_warning_id
mrp.consumption.warning.line,mrp_production_id
mrp.consumption.warning.line,product_consumed_qty_uom
mrp.consumption.warning.line,product_expected_qty_uom
mrp.consumption.warning.line,product_id
mrp.consumption.warning.line,product_uom_id
mrp.consumption.warning.line,write_date
mrp.consumption.warning.line,write_uid
,
mrp.report.wizard,create_date
mrp.report.wizard,create_uid
mrp.report.wizard,date_from
mrp.report.wizard,display_name
mrp.report.wizard,filter
mrp.report.wizard,filter_user
mrp.report.wizard,id
mrp.report.wizard,product_id
mrp.report.wizard,responsible_id
mrp.report.wizard,state
mrp.report.wizard,write_date
mrp.report.wizard,write_uid
mrp.workcenter.productivity.loss.type,create_date
mrp.workcenter.productivity.loss.type,create_uid
mrp.workcenter.productivity.loss.type,display_name
mrp.workcenter.productivity.loss.type,id
mrp.workcenter.productivity.loss.type,loss_type
mrp.workcenter.productivity.loss.type,write_date
mrp.workcenter.productivity.loss.type,write_uid
mrp.operation.dashboard,color
mrp.operation.dashboard,count_in_progress
mrp.operation.dashboard,count_late
mrp.operation.dashboard,count_todo
mrp.operation.dashboard,count_waiting
mrp.operation.dashboard,create_date
mrp.operation.dashboard,create_uid
mrp.operation.dashboard,display_name
mrp.operation.dashboard,id
mrp.operation.dashboard,name
mrp.operation.dashboard,operation_type_id
mrp.operation.dashboard,warehouse_id
mrp.operation.dashboard,write_date
mrp.operation.dashboard,write_uid
mrp.document,access_token
mrp.document,active
mrp.document,checksum
mrp.document,company_id
mrp.document,create_date
mrp.document,create_uid
mrp.document,datas
mrp.document,db_datas
mrp.document,description
mrp.document,display_name
mrp.document,file_size
mrp.document,id
mrp.document,image_height
mrp.document,image_src
mrp.document,image_width
mrp.document,index_content
mrp.document,ir_attachment_id
mrp.document,key
mrp.document,local_url
mrp.document,mimetype
mrp.document,name
mrp.document,original_id
mrp.document,priority
mrp.document,public
mrp.document,raw
mrp.document,res_field
mrp.document,res_id
mrp.document,res_model
mrp.document,res_name
mrp.document,store_fname
mrp.document,theme_template_id
mrp.document,type
mrp.document,url
mrp.document,voice_ids
mrp.document,website_id
mrp.document,write_date
mrp.document,write_uid
mrp.production.split.line,create_date
mrp.production.split.line,create_uid
mrp.production.split.line,date
mrp.production.split.line,display_name
mrp.production.split.line,id
mrp.production.split.line,mrp_production_split_id
mrp.production.split.line,quantity
mrp.production.split.line,user_id
mrp.production.split.line,write_date
mrp.production.split.line,write_uid
mrp.consumption.warning,consumption
mrp.consumption.warning,create_date
mrp.consumption.warning,create_uid
mrp.consumption.warning,display_name
mrp.consumption.warning,id
mrp.consumption.warning,mrp_consumption_warning_line_ids
mrp.consumption.warning,mrp_production_count
mrp.consumption.warning,mrp_production_ids
mrp.consumption.warning,write_date
mrp.consumption.warning,write_uid
mrp.production.split.multi,create_date
mrp.production.split.multi,create_uid
mrp.production.split.multi,display_name
mrp.production.split.multi,id
mrp.production.split.multi,production_ids
mrp.production.split.multi,write_date
mrp.production.split.multi,write_uid
mrp.production.split,counter
mrp.production.split,create_date
mrp.production.split,create_uid
mrp.production.split,display_name
mrp.production.split,id
mrp.production.split,product_id
mrp.production.split,product_qty
mrp.production.split,product_uom_id
mrp.production.split,production_capacity
mrp.production.split,production_detailed_vals_ids
mrp.production.split,production_id
mrp.production.split,production_split_multi_id
mrp.production.split,valid_details
mrp.production.split,write_date
mrp.production.split,write_uid
mrp.production.backorder,create_date
mrp.production.backorder,create_uid
mrp.production.backorder,display_name
mrp.production.backorder,id
mrp.production.backorder,mrp_production_backorder_line_ids
mrp.production.backorder,mrp_production_ids
mrp.production.backorder,show_backorder_lines
mrp.production.backorder,write_date
mrp.production.backorder,write_uid
mrp.workcenter,active
mrp.workcenter,alternative_workcenter_ids
mrp.workcenter,analytic_distribution
mrp.workcenter,analytic_distribution_search
mrp.workcenter,analytic_precision
mrp.workcenter,blocked_time
mrp.workcenter,capacity_ids
mrp.workcenter,code
mrp.workcenter,color
mrp.workcenter,company_id
mrp.workcenter,costs_hour
mrp.workcenter,costs_hour_account_ids
mrp.workcenter,create_date
mrp.workcenter,create_uid
mrp.workcenter,currency_id
mrp.workcenter,default_capacity
mrp.workcenter,display_name
mrp.workcenter,has_routing_lines
mrp.workcenter,id
mrp.workcenter,name
mrp.workcenter,note
mrp.workcenter,oee
mrp.workcenter,oee_target
mrp.workcenter,order_ids
mrp.workcenter,performance
mrp.workcenter,productive_time
mrp.workcenter,resource_calendar_id
mrp.workcenter,resource_id
mrp.workcenter,routing_line_ids
mrp.workcenter,sequence
mrp.workcenter,tag_ids
mrp.workcenter,time_efficiency
mrp.workcenter,time_ids
mrp.workcenter,time_start
mrp.workcenter,time_stop
mrp.workcenter,tz
mrp.workcenter,workcenter_load
mrp.workcenter,working_state
mrp.workcenter,workorder_count
mrp.workcenter,workorder_late_count
mrp.workcenter,workorder_pending_count
mrp.workcenter,workorder_progress_count
mrp.workcenter,workorder_ready_count
mrp.workcenter,write_date
mrp.workcenter,write_uid
mrp.workcenter.capacity,capacity
mrp.workcenter.capacity,create_date
mrp.workcenter.capacity,create_uid
mrp.workcenter.capacity,display_name
mrp.workcenter.capacity,id
mrp.workcenter.capacity,product_id
mrp.workcenter.capacity,product_uom_id
mrp.workcenter.capacity,time_start
mrp.workcenter.capacity,time_stop
mrp.workcenter.capacity,workcenter_id
mrp.workcenter.capacity,write_date
mrp.workcenter.capacity,write_uid
mrp.routing.workcenter,active
mrp.routing.workcenter,allow_operation_dependencies
mrp.routing.workcenter,blocked_by_operation_ids
mrp.routing.workcenter,bom_id
mrp.routing.workcenter,bom_product_template_attribute_value_ids
mrp.routing.workcenter,company_id
mrp.routing.workcenter,create_date
mrp.routing.workcenter,create_uid
mrp.routing.workcenter,display_name
mrp.routing.workcenter,id
mrp.routing.workcenter,name
mrp.routing.workcenter,needed_by_operation_ids
mrp.routing.workcenter,note
mrp.routing.workcenter,possible_bom_product_template_attribute_value_ids
mrp.routing.workcenter,sequence
mrp.routing.workcenter,time_computed_on
mrp.routing.workcenter,time_cycle
mrp.routing.workcenter,time_cycle_manual
mrp.routing.workcenter,time_mode
mrp.routing.workcenter,time_mode_batch
mrp.routing.workcenter,workcenter_id
mrp.routing.workcenter,workorder_count
mrp.routing.workcenter,workorder_ids
mrp.routing.workcenter,worksheet
mrp.routing.workcenter,worksheet_google_slide
mrp.routing.workcenter,worksheet_type
mrp.routing.workcenter,write_date
mrp.routing.workcenter,write_uid
mrp.workorder,allow_workorder_dependencies
mrp.workorder,barcode
mrp.workorder,blocked_by_workorder_ids
mrp.workorder,company_id
mrp.workorder,consumption
mrp.workorder,costs_hour
mrp.workorder,create_date
mrp.workorder,create_uid
mrp.workorder,date_finished
mrp.workorder,date_start
mrp.workorder,display_name
mrp.workorder,duration
mrp.workorder,duration_expected
mrp.workorder,duration_percent
mrp.workorder,duration_unit
mrp.workorder,finished_lot_id
mrp.workorder,id
mrp.workorder,is_planned
mrp.workorder,is_produced
mrp.workorder,is_user_working
mrp.workorder,json_popover
mrp.workorder,last_working_user_id
mrp.workorder,leave_id
mrp.workorder,mo_analytic_account_line_ids
mrp.workorder,move_finished_ids
mrp.workorder,move_line_ids
mrp.workorder,move_raw_ids
mrp.workorder,name
mrp.workorder,needed_by_workorder_ids
mrp.workorder,operation_id
mrp.workorder,operation_note
mrp.workorder,product_id
mrp.workorder,product_tracking
mrp.workorder,product_uom_id
mrp.workorder,production_availability
mrp.workorder,production_bom_id
mrp.workorder,production_date
mrp.workorder,production_id
mrp.workorder,production_state
mrp.workorder,progress
mrp.workorder,qty_produced
mrp.workorder,qty_producing
